Date,Close,Momentum,Signal,Position,Daily_Return,Portfolio_Value
2000-05-19,1268.0,-148.9000000000001,0.0,0.0,-0.0,1185911.8586586723
2000-05-22,1233.0,-173.54999999999995,0.0,0.0,-0.0,1185911.8586586723
2000-05-23,1224.4,-109.04999999999995,0.0,0.0,-0.0,1185911.8586586723
2000-05-24,1235.9,-80.14999999999986,0.0,0.0,0.0,1185911.8586586723
2000-05-25,1247.65,-132.89999999999986,0.0,0.0,0.0,1185911.8586586723
2000-05-26,1275.35,-147.05000000000018,0.0,0.0,0.0,1185911.8586586723
2000-05-29,1311.05,-54.0,0.0,0.0,0.0,1185911.8586586723
2000-05-30,1344.85,-33.700000000000045,0.0,0.0,0.0,1185911.8586586723
2000-05-31,1380.45,17.299999999999955,1.0,1.0,0.026471353682566923,1217304.5509055764
2000-06-01,1349.0,44.450000000000045,0.0,1.0,-0.022782426020500623,1189571.4000301515
2000-06-02,1389.25,106.45000000000005,0.0,1.0,0.029836916234247557,1225064.5422475075
2000-06-05,1404.6,105.34999999999991,0.0,1.0,0.011049127226920863,1238600.4362359897
2000-06-06,1421.75,114.90000000000009,0.0,1.0,0.012209881816887425,1253723.6011807765
2000-06-07,1430.35,118.69999999999982,0.0,1.0,0.006048883418322326,1261307.2290831183
2000-06-08,1463.65,170.25,0.0,1.0,0.023281015136155547,1290671.7417747446
2000-06-09,1467.2,199.20000000000005,0.0,1.0,0.0024254432412120774,1293802.1928274557
2000-06-12,1440.4,207.4000000000001,0.0,1.0,-0.018266085059978177,1270169.491922483
2000-06-13,1432.9,208.5,0.0,1.0,-0.0052068869758400416,1263555.8629378825
2000-06-14,1435.5,199.5999999999999,0.0,1.0,0.0018145020587618799,1265848.5876525438
2000-06-15,1445.25,197.5999999999999,0.0,1.0,0.006792058516196464,1274446.3053325245
2000-06-16,1477.3,201.95000000000005,0.0,1.0,0.02217609410136645,1302708.5465267175
2000-06-19,1498.75,187.70000000000005,0.0,1.0,0.014519731943410275,1321623.5254226748
2000-06-20,1507.1,162.25,0.0,1.0,0.005571309424520443,1328986.6990255301
2000-06-21,1475.15,94.70000000000005,0.0,1.0,-0.021199654966491788,1300812.639551132
2000-06-22,1488.25,139.25,0.0,1.0,0.008880452835304808,1312364.4448442343
2000-06-23,1472.2,82.95000000000005,0.0,1.0,-0.010784478414244902,1298211.2788171892
2000-06-26,1451.65,47.05000000000018,0.0,1.0,-0.013958701263415252,1280089.9353993838
2000-06-27,1454.3,32.549999999999955,0.0,1.0,0.0018255089036611771,1282426.7509739425
2000-06-28,1470.0,39.65000000000009,0.0,1.0,0.010795571752733268,1296271.2809817062
2000-06-29,1492.35,28.699999999999818,0.0,1.0,0.015204081632653077,1315979.895355816
2000-06-30,1471.45,4.25,0.0,1.0,-0.01400475759707831,1297549.9159187293
2000-07-03,1495.25,54.84999999999991,0.0,1.0,0.01617452173026601,1318537.1652298616
2000-07-04,1511.3,78.39999999999986,0.0,1.0,0.01073399097140948,1332690.3312569067
2000-07-05,1526.05,90.54999999999995,0.0,1.0,0.009759809435585298,1345697.134926621
2000-07-06,1516.8,71.54999999999995,0.0,1.0,-0.0060614003473018485,1337540.3258456138
2000-07-07,1517.6,40.299999999999955,0.0,1.0,0.0005274261603376296,1338245.7796039714
2000-07-10,1509.65,10.900000000000091,0.0,1.0,-0.005238534528202332,1331235.3328802949
2000-07-11,1518.55,11.450000000000045,0.0,1.0,0.005895406219984745,1339083.5059420208
2000-07-12,1533.35,58.19999999999982,0.0,1.0,0.0097461394093048,1352134.4004716321
2000-07-13,1522.6,34.34999999999991,0.0,1.0,-0.007010793360941681,1342654.8655937049
2000-07-14,1509.75,37.549999999999955,0.0,1.0,-0.008439511362143604,1331323.5146000895
2000-07-17,1479.65,28.0,0.0,1.0,-0.019937075674780536,1304780.8169418927
2000-07-18,1463.1,8.799999999999955,0.0,1.0,-0.011185077552123945,1290186.742315874
2000-07-19,1435.8,-34.200000000000045,-1.0,0.0,-0.0,1290186.742315874
2000-07-20,1424.2,-68.14999999999986,0.0,0.0,-0.0,1290186.742315874
2000-07-21,1397.25,-74.20000000000005,0.0,0.0,-0.0,1290186.742315874
2000-07-24,1317.75,-177.5,0.0,0.0,-0.0,1290186.742315874
2000-07-25,1348.9,-162.39999999999986,0.0,0.0,0.0,1290186.742315874
2000-07-26,1318.25,-207.79999999999995,0.0,0.0,-0.0,1290186.742315874
2000-07-27,1338.05,-178.75,0.0,0.0,0.0,1290186.742315874
2000-07-28,1333.8,-183.79999999999995,0.0,0.0,-0.0,1290186.742315874
2000-07-31,1332.85,-176.80000000000018,0.0,0.0,-0.0,1290186.742315874
2000-08-01,1326.85,-191.70000000000005,0.0,0.0,-0.0,1290186.742315874
2000-08-02,1331.9,-201.44999999999982,0.0,0.0,0.0,1290186.742315874
2000-08-03,1321.25,-201.3499999999999,0.0,0.0,-0.0,1290186.742315874
2000-08-04,1318.55,-191.20000000000005,0.0,0.0,-0.0,1290186.742315874
2000-08-07,1310.8,-168.85000000000014,0.0,0.0,-0.0,1290186.742315874
2000-08-08,1345.6,-117.5,0.0,0.0,0.0,1290186.742315874
2000-08-09,1344.95,-90.84999999999991,0.0,0.0,-0.0,1290186.742315874
2000-08-10,1328.0,-96.20000000000005,0.0,0.0,-0.0,1290186.742315874
2000-08-11,1310.75,-86.5,0.0,0.0,-0.0,1290186.742315874
2000-08-14,1317.9,0.15000000000009095,1.0,1.0,0.005454892237268805,1297224.5719611598
2000-08-16,1351.45,2.5499999999999545,0.0,1.0,0.025457166704605738,1330248.234142886
2000-08-17,1341.4,23.15000000000009,0.0,1.0,-0.007436457138628838,1320355.9001659458
2000-08-18,1358.05,20.0,0.0,1.0,0.012412404950052025,1336744.6922769959
2000-08-21,1370.25,36.450000000000045,0.0,1.0,0.008983468944442352,1348753.2967067144
2000-08-22,1381.2,48.350000000000136,0.0,1.0,0.007991242474001181,1359531.5113383061
2000-08-23,1386.05,59.200000000000045,0.0,1.0,0.0035114393281203693,1364305.4237550385
2000-08-24,1386.95,55.049999999999955,0.0,1.0,0.0006493272248475623,1365191.3044096897
2000-08-25,1381.25,60.0,0.0,1.0,-0.0041097371931215765,1359580.726930231
2000-08-28,1369.85,51.299999999999955,0.0,1.0,-0.008253393665158426,1348359.5719713138
2000-08-29,1367.7,56.90000000000009,0.0,1.0,-0.0015695149103915895,1346243.3015185355
2000-08-30,1375.95,30.350000000000136,0.0,1.0,0.006032024566790861,1354363.874186173
2000-08-31,1394.1,49.149999999999864,0.0,1.0,0.013190886296740256,1372229.1340549756
2000-09-04,1427.75,99.75,0.0,1.0,0.024137436338856677,1405351.227420552
2000-09-05,1428.25,117.5,0.0,1.0,0.00035020136578522987,1405843.3833398025
2000-09-06,1435.35,117.44999999999982,0.0,1.0,0.0049711185016627635,1412831.9973931632
2000-09-07,1439.75,88.29999999999995,0.0,1.0,0.0030654544187829202,1417162.9694825697
2000-09-08,1450.05,108.64999999999986,0.0,1.0,0.007154019795103217,1427301.3814191353
2000-09-11,1456.35,98.29999999999995,0.0,1.0,0.004344677769732019,1433502.5460016949
2000-09-12,1467.65,97.40000000000009,0.0,1.0,0.007759123836989845,1444625.269776762
2000-09-13,1456.15,74.95000000000005,0.0,1.0,-0.007835655639968686,1433305.6836339945
2000-09-14,1445.3,59.25,0.0,1.0,-0.007451155444150759,1422625.900186253
2000-09-15,1417.2,30.25,0.0,1.0,-0.019442330312045897,1394966.7375243602
2000-09-18,1354.35,-26.90000000000009,-1.0,0.0,-0.0,1394966.7375243602
2000-09-19,1317.0,-52.84999999999991,0.0,0.0,-0.0,1394966.7375243602
2000-09-20,1342.9,-24.799999999999955,0.0,0.0,0.0,1394966.7375243602
2000-09-21,1329.85,-46.100000000000136,0.0,0.0,-0.0,1394966.7375243602
2000-09-22,1266.45,-127.64999999999986,0.0,0.0,-0.0,1394966.7375243602
2000-09-25,1292.55,-135.20000000000005,0.0,0.0,0.0,1394966.7375243602
2000-09-26,1267.9,-160.3499999999999,0.0,0.0,-0.0,1394966.7375243602
2000-09-27,1292.55,-142.79999999999995,0.0,0.0,0.0,1394966.7375243602
2000-09-28,1266.4,-173.3499999999999,0.0,0.0,-0.0,1394966.7375243602
2000-09-29,1271.65,-178.39999999999986,0.0,0.0,0.0,1394966.7375243602
2000-10-03,1282.0,-174.3499999999999,0.0,0.0,0.0,1394966.7375243602
2000-10-04,1297.8,-169.85000000000014,0.0,0.0,0.0,1394966.7375243602
2000-10-05,1284.75,-171.4000000000001,0.0,0.0,-0.0,1394966.7375243602
2000-10-06,1285.0,-160.29999999999995,0.0,0.0,0.0,1394966.7375243602
2000-10-09,1267.3,-149.9000000000001,0.0,0.0,-0.0,1394966.7375243602
2000-10-10,1238.95,-115.39999999999986,0.0,0.0,-0.0,1394966.7375243602
2000-10-11,1201.9,-115.09999999999991,0.0,0.0,-0.0,1394966.7375243602
2000-10-12,1206.25,-136.6500000000001,0.0,0.0,0.0,1394966.7375243602
2000-10-13,1176.75,-153.0999999999999,0.0,0.0,-0.0,1394966.7375243602
